date,Month,Day,location,dose_1,dose_2
2021-10-06,10,6,0,1281091,1170395
2021-10-06,10,6,1,293558,250997
2021-10-06,10,6,2,1071837,969999
2021-10-06,10,6,3,277016,234034
2021-10-06,10,6,4,204986,180469
2021-10-05,10,5,0,1279433,1168536
2021-10-05,10,5,1,292595,250244
2021-10-05,10,5,2,1070198,968334
2021-10-05,10,5,3,276107,233340
2021-10-05,10,5,4,204502,180073
2021-10-04,10,4,0,1278061,1166765
2021-10-04,10,4,1,291827,249576
2021-10-04,10,4,2,1068832,966812
2021-10-04,10,4,3,275209,232676
2021-10-04,10,4,4,204057,179670
2021-10-03,10,3,0,1276149,1164704
2021-10-03,10,3,1,290888,248842
2021-10-03,10,3,2,1067181,965262
2021-10-03,10,3,3,274281,232010
2021-10-03,10,3,4,203657,179309
2021-09-30,9,30,0,1271073,1159056
2021-09-30,9,30,1,288740,247060
2021-09-30,9,30,2,1062541,960318
2021-09-30,9,30,3,271937,230417
2021-09-30,9,30,4,202509,178361
2021-09-29,9,29,0,1268692,1156587
2021-09-29,9,29,1,287557,246313
2021-09-29,9,29,2,1060296,958415
2021-09-29,9,29,3,270885,229688
2021-09-29,9,29,4,201847,177909
2021-09-28,9,28,0,1266193,1154291
2021-09-28,9,28,1,286355,245566
2021-09-28,9,28,2,1057892,956416
2021-09-28,9,28,3,269507,228930
2021-09-28,9,28,4,201142,177387
2021-09-27,9,27,0,1263771,1152277
2021-09-27,9,27,1,285176,244841
2021-09-27,9,27,2,1055626,954733
2021-09-27,9,27,3,268306,228245
2021-09-27,9,27,4,200442,176940
2021-09-26,9,26,0,1260968,1149945
2021-09-26,9,26,1,283849,244158
2021-09-26,9,26,2,1053040,952937
2021-09-26,9,26,3,266791,227345
2021-09-26,9,26,4,199778,176545
2021-09-23,9,23,0,1253060,1143249
2021-09-23,9,23,1,280711,242133
2021-09-23,9,23,2,1045218,947131
2021-09-23,9,23,3,263257,225261
2021-09-23,9,23,4,197954,175466
2021-09-22,9,22,0,1249548,1140543
2021-09-22,9,22,1,279084,241256
2021-09-22,9,22,2,1041531,944726
2021-09-22,9,22,3,260361,223541
2021-09-22,9,22,4,196954,174900
2021-09-21,9,21,0,1246296,1138005
2021-09-21,9,21,1,277426,240407
2021-09-21,9,21,2,1037819,942401
2021-09-21,9,21,3,258416,222457
2021-09-21,9,21,4,196087,174398
2021-09-19,9,19,0,1237686,1131596
2021-09-19,9,19,1,273914,238630
2021-09-19,9,19,2,1028654,936612
2021-09-19,9,19,3,254335,220055
2021-09-19,9,19,4,193828,173252
2021-09-16,9,16,0,1226020,1123574
2021-09-16,9,16,1,269219,236556
2021-09-16,9,16,2,1015575,928441
2021-09-16,9,16,3,250129,218168
2021-09-16,9,16,4,191446,172005
2021-09-15,9,15,0,1220642,1119869
2021-09-15,9,15,1,266703,235535
2021-09-15,9,15,2,1009867,925140
2021-09-15,9,15,3,247931,216960
2021-09-15,9,15,4,190145,171434
2021-09-14,9,14,0,1219099,1118501
2021-09-14,9,14,1,265818,234863
2021-09-14,9,14,2,1007903,923519
2021-09-14,9,14,3,246836,216119
2021-09-14,9,14,4,189655,171096
2021-09-13,9,13,0,1217542,1116824
2021-09-13,9,13,1,265183,234460
2021-09-13,9,13,2,1006272,922043
2021-09-13,9,13,3,246124,215639
2021-09-13,9,13,4,189283,170840
2021-09-12,9,12,0,1215860,1115080
2021-09-12,9,12,1,264435,233862
2021-09-12,9,12,2,1004746,920570
2021-09-12,9,12,3,245348,215110
2021-09-12,9,12,4,188905,170551
2021-09-09,9,9,0,1212034,1110717
2021-09-09,9,9,1,263028,232716
2021-09-09,9,9,2,1000865,916495
2021-09-09,9,9,3,244082,213976
2021-09-09,9,9,4,187927,169746
2021-09-08,9,8,0,1210581,1109254
2021-09-08,9,8,1,262431,232219
2021-09-08,9,8,2,999714,915396
2021-09-08,9,8,3,243429,213445
2021-09-08,9,8,4,187537,169423
2021-09-07,9,7,0,1209223,1107939
2021-09-07,9,7,1,261940,231833
2021-09-07,9,7,2,998548,914330
2021-09-07,9,7,3,242942,213049
2021-09-07,9,7,4,187161,169123
2021-09-06,9,6,0,1207902,1106606
2021-09-06,9,6,1,261354,231366
2021-09-06,9,6,2,997368,913227
2021-09-06,9,6,3,242280,212533
2021-09-06,9,6,4,186771,168806
2021-09-02,9,2,0,1203506,1100574
2021-09-02,9,2,1,259753,229913
2021-09-02,9,2,2,993229,907826
2021-09-02,9,2,3,240869,211129
2021-09-02,9,2,4,186001,168120
2021-09-01,9,1,0,1202193,1098681
2021-09-01,9,1,1,259223,229392
2021-09-01,9,1,2,991746,906204
2021-09-01,9,1,3,240281,210519
2021-09-01,9,1,4,185769,167854
2021-08-31,8,31,0,1201028,1096970
2021-08-31,8,31,1,258724,228959
2021-08-31,8,31,2,990460,904689
2021-08-31,8,31,3,239789,210006
2021-08-31,8,31,4,185470,167529
2021-08-30,8,30,0,1200026,1095251
2021-08-30,8,30,1,258329,228547
2021-08-30,8,30,2,989456,903163
2021-08-30,8,30,3,239423,209594
2021-08-30,8,30,4,185247,167301
2021-08-29,8,29,0,1199035,1093638
2021-08-29,8,29,1,257908,227973
2021-08-29,8,29,2,988506,901649
2021-08-29,8,29,3,239049,209099
2021-08-29,8,29,4,185055,167083
2021-08-26,8,26,0,1196303,1088842
2021-08-26,8,26,1,257007,226774
2021-08-26,8,26,2,985450,896344
2021-08-26,8,26,3,238206,208068
2021-08-26,8,26,4,184574,166473
2021-08-25,8,25,0,1194954,1086648
2021-08-25,8,25,1,256535,226148
2021-08-25,8,25,2,984717,895133
2021-08-25,8,25,3,237784,207450
2021-08-25,8,25,4,184325,166109
2021-08-24,8,24,0,1193660,1084686
2021-08-24,8,24,1,256092,225578
2021-08-24,8,24,2,983603,893339
2021-08-24,8,24,3,237353,206921
2021-08-24,8,24,4,183994,165724
2021-08-23,8,23,0,1192518,1082779
2021-08-23,8,23,1,255669,224988
2021-08-23,8,23,2,982605,891750
2021-08-23,8,23,3,236988,206414
2021-08-23,8,23,4,183783,165472
2021-08-22,8,22,0,1191462,1080854
2021-08-22,8,22,1,255306,224401
2021-08-22,8,22,2,981795,890119
2021-08-22,8,22,3,236652,205853
2021-08-22,8,22,4,183565,165196
2021-08-19,8,19,0,1189059,1076051
2021-08-19,8,19,1,254692,223367
2021-08-19,8,19,2,979686,885471
2021-08-19,8,19,3,235958,204867
2021-08-19,8,19,4,183098,164409
2021-08-18,8,18,0,1188020,1074105
2021-08-18,8,18,1,254364,222821
2021-08-18,8,18,2,978813,883765
2021-08-18,8,18,3,235701,204329
2021-08-18,8,18,4,182865,164112
2021-08-17,8,17,0,1186955,1072024
2021-08-17,8,17,1,254052,222318
2021-08-17,8,17,2,977929,882051
2021-08-17,8,17,3,235430,203846
2021-08-17,8,17,4,182580,163675
2021-08-16,8,16,0,1185903,1070005
2021-08-16,8,16,1,253735,221729
2021-08-16,8,16,2,977201,880509
2021-08-16,8,16,3,235123,203315
2021-08-16,8,16,4,182411,163444
2021-08-15,8,15,0,1184832,1067878
2021-08-15,8,15,1,253415,221179
2021-08-15,8,15,2,976368,878718
2021-08-15,8,15,3,234835,202766
2021-08-15,8,15,4,182148,163125
2021-08-12,8,12,0,1182474,1062361
2021-08-12,8,12,1,252811,220060
2021-08-12,8,12,2,974220,873551
2021-08-12,8,12,3,234278,201625
2021-08-12,8,12,4,181692,162365
2021-08-11,8,11,0,1181550,1060032
2021-08-11,8,11,1,252526,219478
2021-08-11,8,11,2,973351,871625
2021-08-11,8,11,3,233994,201061
2021-08-11,8,11,4,181515,161979
2021-08-10,8,10,0,1180522,1057614
2021-08-10,8,10,1,252298,218959
2021-08-10,8,10,2,972581,869832
2021-08-10,8,10,3,233690,200404
2021-08-10,8,10,4,181299,161576
2021-08-09,8,9,0,1179587,1055273
2021-08-09,8,9,1,251975,218384
2021-08-09,8,9,2,971867,868193
2021-08-09,8,9,3,233463,199808
2021-08-09,8,9,4,181177,161310
2021-08-08,8,8,0,1178672,1052820
2021-08-08,8,8,1,251669,217760
2021-08-08,8,8,2,971111,866207
2021-08-08,8,8,3,233212,199177
2021-08-08,8,8,4,181005,161000
2021-08-05,8,5,0,1176208,1045254
2021-08-05,8,5,1,251163,216419
2021-08-05,8,5,2,968945,859433
2021-08-05,8,5,3,232627,197757
2021-08-05,8,5,4,180676,160168
2021-08-04,8,4,0,1175157,1042008
2021-08-04,8,4,1,250900,215736
2021-08-04,8,4,2,968093,856779
2021-08-04,8,4,3,232288,196940
2021-08-04,8,4,4,180468,159732
2021-08-03,8,3,0,1173865,1038501
2021-08-03,8,3,1,250564,215050
2021-08-03,8,3,2,967182,854301
2021-08-03,8,3,3,232027,196243
2021-08-03,8,3,4,180267,159242
2021-08-02,8,2,0,1172615,1034722
2021-08-02,8,2,1,250240,214278
2021-08-02,8,2,2,966163,851541
2021-08-02,8,2,3,231655,195387
2021-08-02,8,2,4,180100,158795
2021-07-29,7,29,0,1168880,1020598
2021-07-29,7,29,1,249579,212477
2021-07-29,7,29,2,963256,841706
2021-07-29,7,29,3,231013,193574
2021-07-29,7,29,4,179560,157591
2021-07-28,7,28,0,1167348,1014361
2021-07-28,7,28,1,249236,211518
2021-07-28,7,28,2,962117,836974
2021-07-28,7,28,3,230690,192629
2021-07-28,7,28,4,179371,157102
2021-07-27,7,27,0,1165921,1007368
2021-07-27,7,27,1,248843,210507
2021-07-27,7,27,2,960947,832369
2021-07-27,7,27,3,230355,191780
2021-07-27,7,27,4,179195,156618
2021-07-26,7,26,0,1164595,999787
2021-07-26,7,26,1,248467,209485
2021-07-26,7,26,2,959818,827701
2021-07-26,7,26,3,230056,190895
2021-07-26,7,26,4,179058,156206
2021-07-25,7,25,0,1163189,991719
2021-07-25,7,25,1,248170,208424
2021-07-25,7,25,2,958794,822092
2021-07-25,7,25,3,229757,189904
2021-07-25,7,25,4,178879,155629
2021-07-22,7,22,0,1159468,965933
2021-07-22,7,22,1,247445,205810
2021-07-22,7,22,2,955799,800259
2021-07-22,7,22,3,228934,187325
2021-07-22,7,22,4,178305,154083
2021-07-21,7,21,0,1157703,953505
2021-07-21,7,21,1,247075,204395
2021-07-21,7,21,2,954509,791316
2021-07-21,7,21,3,228565,185953
2021-07-21,7,21,4,178111,153513
2021-07-20,7,20,0,1156184,942203
2021-07-20,7,20,1,246624,202543
2021-07-20,7,20,2,953266,781757
2021-07-20,7,20,3,228268,184741
2021-07-20,7,20,4,177918,152874
2021-07-19,7,19,0,1154951,933992
2021-07-19,7,19,1,246336,201323
2021-07-19,7,19,2,952305,775571
2021-07-19,7,19,3,227983,183463
2021-07-19,7,19,4,177768,152343
2021-07-18,7,18,0,1153626,925341
2021-07-18,7,18,1,245998,200004
2021-07-18,7,18,2,951269,768600
2021-07-18,7,18,3,227645,181978
2021-07-18,7,18,4,177583,151561
2021-07-15,7,15,0,1149953,895816
2021-07-15,7,15,1,245236,195909
2021-07-15,7,15,2,948040,741796
2021-07-15,7,15,3,226940,178037
2021-07-15,7,15,4,176329,147948
2021-07-14,7,14,0,1148249,883107
2021-07-14,7,14,1,244799,193449
2021-07-14,7,14,2,946653,730746
2021-07-14,7,14,3,226528,175786
2021-07-14,7,14,4,174849,146288
2021-07-13,7,13,0,1146957,873806
2021-07-13,7,13,1,244397,191176
2021-07-13,7,13,2,945668,721915
2021-07-13,7,13,3,226150,173699
2021-07-13,7,13,4,173789,144461
2021-07-12,7,12,0,1145612,864437
2021-07-12,7,12,1,244057,189154
2021-07-12,7,12,2,944594,715886
2021-07-12,7,12,3,225759,171457
2021-07-12,7,12,4,173620,143430
2021-07-11,7,11,0,1144246,853767
2021-07-11,7,11,1,243686,187180
2021-07-11,7,11,2,943391,709375
2021-07-11,7,11,3,225376,169039
2021-07-11,7,11,4,173385,142084
2021-07-08,7,8,0,1140334,819237
2021-07-08,7,8,1,242811,182261
2021-07-08,7,8,2,939869,677741
2021-07-08,7,8,3,224442,162748
2021-07-08,7,8,4,172812,138357
2021-07-07,7,7,0,1137849,798830
2021-07-07,7,7,1,242383,178978
2021-07-07,7,7,2,938371,663399
2021-07-07,7,7,3,223918,158743
2021-07-07,7,7,4,172477,136586
2021-07-06,7,6,0,1135764,774851
2021-07-06,7,6,1,241775,175706
2021-07-06,7,6,2,936683,648310
2021-07-06,7,6,3,223332,153824
2021-07-06,7,6,4,172168,134497
2021-07-05,7,5,0,1134560,762787
2021-07-05,7,5,1,241198,172159
2021-07-05,7,5,2,935149,631390
2021-07-05,7,5,3,222604,148706
2021-07-05,7,5,4,171575,132219
2021-07-04,7,4,0,1132745,741064
2021-07-04,7,4,1,240670,168433
2021-07-04,7,4,2,933992,618160
2021-07-04,7,4,3,222088,143937
2021-07-04,7,4,4,171256,129196
2021-07-01,7,1,0,1128417,681849
2021-07-01,7,1,1,239703,160032
2021-07-01,7,1,2,930034,568726
2021-07-01,7,1,3,221063,134251
2021-07-01,7,1,4,170587,122202
2021-06-29,6,29,0,1125087,641470
2021-06-29,6,29,1,238738,152643
2021-06-29,6,29,2,927532,538291
2021-06-29,6,29,3,220250,126493
2021-06-29,6,29,4,169978,116849
2021-06-28,6,28,0,1122865,614073
2021-06-28,6,28,1,238091,147435
2021-06-28,6,28,2,925896,519795
2021-06-28,6,28,3,219628,120585
2021-06-28,6,28,4,169629,112848
2021-06-27,6,27,0,1120448,586178
2021-06-27,6,27,1,237339,141854
2021-06-27,6,27,2,923734,500248
2021-06-27,6,27,3,218884,114743
2021-06-27,6,27,4,169252,108115
2021-06-23,6,23,0,1112569,491306
2021-06-23,6,23,1,235141,126254
2021-06-23,6,23,2,916650,427624
2021-06-23,6,23,3,216938,99010
2021-06-23,6,23,4,167942,93973
2021-06-22,6,22,0,1110732,471727
2021-06-22,6,22,1,234413,120567
2021-06-22,6,22,2,914732,407479
2021-06-22,6,22,3,216234,94195
2021-06-22,6,22,4,167530,90179
2021-06-21,6,21,0,1108602,454393
2021-06-21,6,21,1,233801,116054
2021-06-21,6,21,2,913486,393658
2021-06-21,6,21,3,215601,90021
2021-06-21,6,21,4,166991,86007
2021-06-20,6,20,0,1106486,438359
2021-06-20,6,20,1,233219,112712
2021-06-20,6,20,2,912165,378821
2021-06-20,6,20,3,215038,85796
2021-06-20,6,20,4,166516,81785
2021-06-19,6,19,0,1104933,427300
2021-06-19,6,19,1,233031,111592
2021-06-19,6,19,2,910977,368966
2021-06-19,6,19,3,214776,84379
2021-06-19,6,19,4,166313,79738
2021-06-16,6,16,0,1094837,357485
2021-06-16,6,16,1,230198,97276
2021-06-16,6,16,2,901349,311389
2021-06-16,6,16,3,212285,71804
2021-06-16,6,16,4,164888,68426
2021-06-15,6,15,0,1092269,338836
2021-06-15,6,15,1,229468,93342
2021-06-15,6,15,2,899469,296318
2021-06-15,6,15,3,211678,68569
2021-06-15,6,15,4,164565,65293
2021-06-14,6,14,0,1090094,322487
2021-06-14,6,14,1,228800,89540
2021-06-14,6,14,2,897829,282506
2021-06-14,6,14,3,210968,64611
2021-06-14,6,14,4,164235,62001
2021-06-09,6,9,0,1071563,234634
2021-06-09,6,9,1,224521,71865
2021-06-09,6,9,2,882743,213945
2021-06-09,6,9,3,206770,50664
2021-06-09,6,9,4,162096,49508
2021-06-08,6,8,0,1066023,222281
2021-06-08,6,8,1,223553,68341
2021-06-08,6,8,2,879345,202516
2021-06-08,6,8,3,205634,47856
2021-06-08,6,8,4,161535,46850
2021-06-07,6,7,0,1060567,212766
2021-06-07,6,7,1,222731,64919
2021-06-07,6,7,2,877250,195363
2021-06-07,6,7,3,204593,45409
2021-06-07,6,7,4,161227,44444
2021-06-06,6,6,0,1053931,202331
2021-06-06,6,6,1,221942,61572
2021-06-06,6,6,2,874238,186565
2021-06-06,6,6,3,203771,42846
2021-06-06,6,6,4,160891,42158
2021-06-05,6,5,0,1047892,195408
2021-06-05,6,5,1,221723,60746
2021-06-05,6,5,2,871126,180037
2021-06-05,6,5,3,203301,41883
2021-06-05,6,5,4,160632,41035
2021-06-04,6,4,0,1039266,183279
2021-06-04,6,4,1,220888,58705
2021-06-04,6,4,2,864461,170581
2021-06-04,6,4,3,202526,40374
2021-06-04,6,4,4,160186,39517
2021-06-03,6,3,0,1026907,170118
2021-06-03,6,3,1,219540,54622
2021-06-03,6,3,2,856658,156812
2021-06-03,6,3,3,200723,37957
2021-06-03,6,3,4,159263,36743
2021-06-02,6,2,0,1013793,156778
2021-06-02,6,2,1,218090,49630
2021-06-02,6,2,2,846922,143729
2021-06-02,6,2,3,198605,35368
2021-06-02,6,2,4,158461,33641
2021-06-01,6,1,0,1002574,149366
2021-06-01,6,1,1,216858,45215
2021-06-01,6,1,2,838082,137084
2021-06-01,6,1,3,197167,33407
2021-06-01,6,1,4,157861,31273
2021-05-31,5,31,0,990658,146131
2021-05-31,5,31,1,215929,44217
2021-05-31,5,31,2,834106,134687
2021-05-31,5,31,3,195386,32697
2021-05-31,5,31,4,157377,30805
2021-05-30,5,30,0,977491,143391
2021-05-30,5,30,1,214764,43395
2021-05-30,5,30,2,827311,132694
2021-05-30,5,30,3,193639,32090
2021-05-30,5,30,4,156492,30450
2021-05-29,5,29,0,967519,141994
2021-05-29,5,29,1,214330,43217
2021-05-29,5,29,2,820164,131448
2021-05-29,5,29,3,192910,31978
2021-05-29,5,29,4,156069,30381
2021-05-28,5,28,0,951543,138727
2021-05-28,5,28,1,212667,42495
2021-05-28,5,28,2,809196,128871
2021-05-28,5,28,3,190936,31583
2021-05-28,5,28,4,154897,30159
2021-05-27,5,27,0,928127,134981
2021-05-27,5,27,1,210203,41394
2021-05-27,5,27,2,796617,125829
2021-05-27,5,27,3,187749,30804
2021-05-27,5,27,4,153219,29707
2021-05-26,5,26,0,906142,131726
2021-05-26,5,26,1,207361,40261
