date,Month,Day,location,dose_1,dose_2
2021-05-03,5,3,3,108860,23305
2021-05-03,5,3,4,96655,25385
2021-05-02,5,2,0,516207,109285
2021-05-02,5,2,1,132172,33350
2021-05-02,5,2,2,476561,103501
2021-05-02,5,2,3,105341,23156
2021-05-02,5,2,4,94113,25244
2021-05-01,5,1,0,509844,109005
2021-05-01,5,1,1,130944,33359
2021-05-01,5,1,2,469200,103793
2021-05-01,5,1,3,103178,23115
2021-05-01,5,1,4,93280,25230
2021-04-30,4,30,0,500403,108590
2021-04-30,4,30,1,129059,33283
2021-04-30,4,30,2,460139,103514
2021-04-30,4,30,3,102131,23111
2021-04-30,4,30,4,91902,25179
2021-04-29,4,29,0,486650,107189
2021-04-29,4,29,1,127081,32892
2021-04-29,4,29,2,449132,102501
2021-04-29,4,29,3,99837,23009
2021-04-29,4,29,4,90104,24931
2021-04-28,4,28,0,472893,105418
2021-04-28,4,28,1,124847,32354
2021-04-28,4,28,2,438854,101560
2021-04-28,4,28,3,96987,22822
2021-04-28,4,28,4,88863,24779
2021-04-27,4,27,0,461622,103308
2021-04-27,4,27,1,122327,31897
2021-04-27,4,27,2,428854,100537
2021-04-27,4,27,3,94699,22548
2021-04-27,4,27,4,87759,24428
2021-04-26,4,26,0,449455,101310
2021-04-26,4,26,1,120204,31525
2021-04-26,4,26,2,421755,99876
2021-04-26,4,26,3,92482,22366
2021-04-26,4,26,4,86493,23861
2021-04-25,4,25,0,437415,99025
2021-04-25,4,25,1,118533,30922
2021-04-25,4,25,2,413167,98392
2021-04-25,4,25,3,90447,22161
2021-04-25,4,25,4,84855,23689
